,0,1,InspName,InspAddress
11724,Vivial Restaurant & Cocktail Bar,3755 N Southport Ave,VIVIAL,3755 N SOUTHPORT AVE 
11725,Muscle Maker Grill,920 W Belmont,MUSCLE MAKER GRILL,920 W BELMONT AVE 
11726,Starbucks,1101 South Canal St,STARBUCKS COFFEE #9757,1101 S CANAL ST 
11727,Dunkin',1801 W Jackson Blvd,DUNKIN DONUTS,1801 W JACKSON BLVD 
11728,Dollar Tree,4800 W Fullerton Ave,DOLLAR TREE,4800 W FULLERTON AVE 
11729,Chan's Chop Suey,10241 S Western Ave,CHOP SUEY WOK,6812 S WESTERN AVE 
11730,New China 2,3533 N Western Ave,NEW CHINA 2,3533 N WESTERN AVE 
11731,Saks Fifth Avenue,700 N Michigan Avenue,SOPHIE'S AT SAKS FIFTH AVENUE,700 N MICHIGAN AVE 
11732,Mr Kite's The Chocolate shop since 1987,2120 W Division St,MR KITE'S CHOCOLATE,2120 W DIVISION ST 
11733,M Burger,100 W Randolph St,M BURGER,100 W RANDOLPH ST 
11734,Popeyes Louisiana Kitchen,1959 W Howard St,POPEYES,1959 W HOWARD ST 
11735,One Stop,2950 N Cicero Ave,CITGO ONE STOP,2950 N CICERO AVE 
11736,Dunkin',1200 W Loyola Ave,DUNKIN DONUTS,1200 W LOYOLA AVE 
11737,Mughal India,560 W Van Buren St,MUGHAL INDIA INC,560 W VAN BUREN ST 
11738,A Bite Of Szechuan,5657 N Lincoln Ave,A BITE OF SZECHUAN,5657 N LINCOLN AVE 
11739,Rosebud Prime,1 S Dearborn St,ROSEBUD PRIME,1 S DEARBORN ST 
11740,El PARAISO RESTAURANT,3225 N Harlem Ave,BAKERS SQUARE RESTAURANT,5220 N HARLEM AVE 
11741,The Westin Chicago River North,320 N Dearborn St,TAO CHICAGO,632 N DEARBORN ST 
11742,Mr. Beef & Pizza,3917 N Harlem Ave,LUKE'S BEEF & PIZZA,3130 N HARLEM AVE 
11743,Myron Mixon's Smoke Show BBQ,3801 N Clark St,MYRON MIXON'S SMOKE SHOW BARBECUE,3801-3809 N CLARK ST 
11744,Island Convenience,5960 W Roosevelt Rd,"ISLAND CONVENIENCE, INC.",5960 W ROOSEVELT RD 
11745,Fon Fon Chinese Cuisine,8253 S Kedzie Ave,FON FON,8253 S KEDZIE AVE 
11746,Dunkin',1801 W Jackson Blvd,DUNKIN' DONUTS,1801 W JACKSON BLVD 
11747,Heritage Outpost,300 S Wacker Dr,HERITAGE OUTPOST,300 S WACKER DR 
11748,Villains Chicago,730 S Clark St,VILLAINS CHICAGO,730 S CLARK ST 
11749,Dunkin' Donuts,1982 N Clybourn Ave,DUNKIN DONUTS/BASKIN ROBBINS,1982 N CLYBOURN AVE 
11750,Palette Chicago,1204 N State St,THE ART INSTITUTE OF CHICAGO,164 N STATE ST 
11751,Victory's Banner,2100 W Roscoe St,VICTORY'S BANNER,2100 W ROSCOE ST 
11752,Horchatas Mexican Restaurant,2949 W Belmont Ave,HORCHATAS MEXICAN RESTAURANT,2949 W BELMONT AVE 
11753,Au Bon Pain,1650 W Harrison St,Au Bon Pain,1725 W Harrison ST 
