,0,1,InspName,InspAddress
2690,Honey Tree Early Learning Center,201 N Clark St,TINY GIANTS EARLY LEARNING CENTER,4421 N CLARK ST 
2691,Pierre's Catering,1433 E 79th St,PIERRES CATERING,1433 E 79TH ST 
2692,Columbus Grill & Carry Outs,651 W Washington Blvd,Columbus Restaurant & Bar,651 W WASHINGTON BLVD 
2693,Barwaqo Kabob,6130 N Ravenswood Ave,BARWAQO KABOB RESTAURANT ONE,6130 N RAVENSWOOD AVE 
2694,Marathon,1835 E 95th St,DOWNTOWN MARATHON,1835 E 95TH ST 
2695,Target,4466 N Broadway St,TARGET #T-2373,4466 N BROADWAY 
2696,Buddy Guy's Legends,700 S Wabash Ave,BUDDY GUY'S LEGENDS,700 S WABASH AVE 
2697,The Cousins,1463 W Leland Ave,THE COUSINS RESTAURANT,1463 W LELAND AVE 
2698,Subway,4351 W Armitage Ave,SUBWAY RESTAURANT,4351 W ARMITAGE AVE 
2699,BP,5048 S Cornell Ave,BP,5048 S CORNELL AVE BLDG 
2700,See Thru Chinese Kitchen,10939 S Western Ave,SEE THRU CHINESE KITCHEN,10939 S WESTERN AVE 
2701,Maxim's Restaurant,20 N Clark St,MAXIM'S RESTAURANT INC,20 N CLARK ST 
2702,Baba's Famous Steak & Lemonade,7103 S Racine Ave,BABA'S FAMOUS STEAK AND LEMONADE,71031/2 S RACINE AVE 
2703,McDonald's,10 E Chicago Ave,MCDONALDS,10 E CHICAGO AVE 
2704,Jimbo's,3258 S Princeton Ave,JIMBO'S,3258 S PRINCETON AVE 
2705,Jamaican Jerk Chicken,8216 S Kedzie Ave,JAMAICAN JERK CHICKEN,8216 S KEDZIE AVE 
2706,Star Light Market,211 W 22nd Pl,STAR LIGHT FOOD MARKET,211 W 22ND PL 
2707,Walgreens,4040 N Cicero Ave,WALGREENS # 04936,4040 N CICERO AVE 
2708,Subway,5232 N Nagle Ave,SUBWAY,5232 N NAGLE AVE 
2709,Jakes Pup In the Ruf,4401 N Sheridan Rd,JAKE'S PUP IN THE RUF INC,4401 N SHERIDAN RD 
2710,Raymond's Tacos No 1,2653 W Cermak Rd,RAYMONDS TACOS,2653 W CERMAK RD 
2711,Jimmy John's,200 E Randolph,JIMMY JOHN'S,200 E RANDOLPH ST 
2712,Walgreens,5874 S Archer Ave,Walgreens # 03321,5874 S ARCHER AVE 
2713,McDonald's,1951 E 95th St,McDonalds,1951 E 95th ST 
2714,Asian Mix Cafe,3945 N Broadway,ASIAN MIX,3945 N BROADWAY 
2715,Stretch Bar & Grill,3485 N Clark St,THE STRETCH BAR AND GRILL,3485 N CLARK ST 
2716,Prescott Elementary School,1632 W Wrightwood Ave,Prescott Elementary,1632 W Wrightwood (2600N) 
2717,Cafe Ba-Ba-Reeba!,2024 N Halsted St,CAFE BA BA REEBA,2024-2028 N HALSTED ST 
2718,Green Dolphin Street,2200 N Ashland Ave,THE GREEN DOLPHIN,2200 N ASHLAND AVE 
2719,Chicago's Home Of Chicken & Waffles,3947 S King Dr,Not Found,Not Found
2720,Terry's Place,5950 W Madison St,TERRY'S,5950 W MADISON ST 
2721,Chicago Sweet Connection,5569 N Northwest Hwy,CHICAGO SWEET CONNECTION BAKERY,5569 N NORTHWEST HWY 
2722,Next MAN Up,946 E 43rd St,NEXT MAN UP,946 E 43RD ST 
2723,Lockwood Restaurant & Bar,17 E Monroe St,LOCKWOOD,17 E MONROE ST 
2724,Jaffa Bagels,225 N Michigan Ave,JAFFA BAGELS,225 N MICHIGAN AVE 
2725,Bombacigno's J & C Inn,558 W Van Buren St,BOMBACIGNO'S,558 W VAN BUREN ST 
2726,El Tarasco,4358 W 51st St,EL TARASCO,4358 W 51ST ST 
2727,McDonald's,29 E 87th St,MCDONALD'S,29 E 87TH ST 
2728,The Ivy Room At Tree Studios,12 E Ohio St,THE IVY ROOM,12 E OHIO ST 
2729,Noble Tree Coffee & Tea,2444 N Clark St,NOBLE TREE,2444 N CLARK ST 
2730,Chipotle Mexican Grill,3312 N Western Ave,CHIPOTLE,3312 N WESTERN AVE 
2731,Natalie's Drive In,5729 N Northwest Hwy,NATALIE'S DRIVE-IN,5729 N NORTHWEST HWY 
2732,Flour Power,1642 W Chicago Ave,FLOUR POWER,1642 W CHICAGO AVE 
2733,Taqueria Teloloapan,3641 W Fullerton Ave,Taqueria Teloloapan,3641 W FULLERTON AVE 
2734,Starbucks,4830 N Pulaski Rd,STARBUCKS COFFEE #13439,4830 N PULASKI RD 
2735,Kimpton Hotel Palomar Chicago,505 N State St,HOTEL PALOMAR,505 N STATE ST 
2736,Kendall College,900 N North Branch St,KENDALL COLLEGE,900 N NORTH BRANCH ST 
2737,Flat Top Grill,1400 W Belmont Ave,FLAT TOP GRILL,1400 W BELMONT AVE 
2738,Podhalanka,1549 W Division St,PODHALANKA RESTAURANT,1549 W DIVISION ST 
2739,The Noodle Vietnamese Cuisine,2336 S Wentworth Ave,THE NOODLE VIETNAMESE CUISINE,2336 S WENTWORTH AVE 
2740,Subway,6044 S Western Ave,SUBWAY,6044 S WESTERN AVE 
2741,White Hen Pantry,200 S Racine Ave,White Hen Pantry,200 S RACINE AVE 
2742,Subway,1938 W Lawrence Ave,SUBWAY,1938 W LAWRENCE AVE 
2743,Mario's Table,21 W Goethe St,MARIO'S TABLE,21 W GOETHE ST 
2744,Scrub-A-Dub,3333 W Fullerton Ave,SCRUB A DUB FULLERTON,3333 W FULLERTON AVE 
2745,Scrub-A-Dub,3333 W Fullerton Ave,SCRUB A DUB,3333 W FULLERTON AVE 
2746,Feida Bakery,2228 S Wentworth Ave,MUI'S FEIDA BAKERY,2228 S WENTWORTH AVE 
2747,San Miguel Bakery,1607 W Montrose Ave,SAN MIGUEL BAKERY INC.,1607 W MONTROSE AVE 
2748,Garfield Shell,801 W Garfield Blvd,GARFIELD GYROS PIZZA,2020 W GARFIELD BLVD 
2749,Drake Bros,140 E Walton Pl,DRAKE BROTHERS,140 E WALTON PL 
2750,California Pizza Kitchen,30 N La Salle St,CALIFORNIA PIZZA KITCHEN ASAP,30 N LA SALLE ST 
2751,Harika Foods,1900 N Austin Ave,HARIKA FOODS,1900 N AUSTIN AVE 
2752,Noodles Pho U,3417 S Halsted St,NOODLES PHO U,3417 S HALSTED ST 
2753,Division Street Bar & Grill,2525 W Division St,DIVISION DRAFT,2525 W DIVISION ST 
2754,Paulina Market,3501 N Lincoln Ave,PAULINA MARKET,3501 N LINCOLN AVE 
2755,La Plena Restaurant,2617 W Division St,LA PLENA RESTAURANT,2617 W DIVISION ST 
2756,Au Bon Pain,5841 S Maryland Ave,AU BON PAIN,5841 S MARYLAND AVE 
2757,Cloverhill Bakeries,2035 N Narragansett Ave,CLOVERHILL PASTRY-VEND,2035 N NARRAGANSETT AVE BLDG 
2758,Brew & Grow,3625 N Kedzie Ave,BREW & GROW,3625-3629 N KEDZIE AVE 
2759,Pub 626,1406 W Morse Ave,PUB 626,1406 W MORSE AVE 
2760,DiCola's Seafood,10754 S Western Ave,DICOLA SEAFOOD,10754 S WESTERN AVE 
2761,The Bureau Bar and Restaurant,2115 S State St,BUREAU BAR AND RESTAURANT LLC,2115 S STATE ST 
2762,Kiddieland Educational Center of Excellence,3809 N Cicero Ave,"KIDDIELAND EDUCATIONAL CENTER OF EXCELLENCE, INC.",3809 N CICERO AVE 
2763,Fancy Plants Cafe,613 W Briar St,FANCY PLANTS CAFE,613 W BRIAR PL 
2764,7-Eleven,180 N Franklin St,7-ELEVEN,180 N FRANKLIN ST 
2765,China Express,5663 W Grand Ave,CHINA EXPRESS REST,5663 W GRAND AVE 
2766,Kinnaree Thai Kitchen,2415 N Ashland Ave,KINNAREE,2415 N ASHLAND AVE 
2767,Himalayan Curry & Pizza,2312 N Lincoln Ave,HIMALAYAN - CURRY AND PIZZA,2312 N LINCOLN AVE 
2768,El Diamante Azul Restaurant,5663 N Clark St,EL DIAMANTE AZUL RESTAURANT,5663-5665 N CLARK ST 
2769,Morgan Park Academy,2153 W 111th St,MORGAN PARK ACADEMY,2153 W 111TH ST 
2770,Karahi Corner,2658 W Devon Ave,KARAHI CORNER AND MORE,2658 W DEVON AVE 
2771,Las Tres Costeñitas Restaurant,4147 S Kedzie Ave,"LAS TRES COSTENITAS RESTAURANT, INC.",4147 S KEDZIE AVE 
2772,Starbucks,875 N Michigan Ave,STARBUCKS COFFEE #25092,875 N MICHIGAN AVE 
2773,Chipotle Mexican Grill,6600 N Sheridan Rd,Chipotle Mexican Grill,6600 N SHERIDAN RD 
2774,Forever Yogurt,42 E Chicago Ave,FOREVER YOGURT,42 E CHICAGO AVE 
2775,Charly's Burgers,2320 N Cicero Ave,CHARLY'S BURGERS,2320 N CICERO AVE 
2776,The Second City Theatre,1616 N Wells St,THE SECOND CITY,1608-1616 N WELLS ST 
2777,Nicky's Gyros,7005 S Stony Island Ave,NICKY'S GYROS,7005 S STONY ISLAND AVE 
2778,Noble Thai,1371 W Chicago Ave,NOBLE THAI,1371 W CHICAGO AVE 
2779,Nicky's In-N-Out,4240 S Wentworth Ave,NICKY'S IN-N-OUT,4240 S WENTWORTH AVE 
2780,Joong Boo Market,3333 N Kimball Ave,JOONG BOO MARKET,3333 N KIMBALL AVE 
2781,Jerk Taco Man,4001 W Jackson Blvd,JERK TACO MAN 1,4001 W JACKSON BLVD 
2782,Momo Factory,3202 N Broadway,MOMO FACTORY,3202 N Broadway 
2783,Morse Fresh Market,1430 W Morse Ave,MORSE FRESH MARKET,1430 W MORSE AVE 
2784,City Winery Chicago at the Riverwalk,11 W Riverwalk S,CITY WINERY CHICAGO,11 W RIVERWALK SOUTH 
2785,Masa Azul,2901 W Diversey Ave,MASA AZUL,2901 W DIVERSEY AVE 
2786,McDonald's,1951 E 95th St,HALE FAMILY MCDONALD'S,1951 E 95th ST 
2787,Cilantro Thai Kitchen,1509 W Devon Ave,CILANTRO  THAI  KITCHEN,1509 W DEVON AVE 
2788,Maravillas,5506 S Lake Park Ave,MARAVILLAS RESTAURANT,5506 S LAKE PARK AVE 
2789,Uberstein,3478 N Clark,UBERSTEIN,3478 N CLARK ST 
2790,The Garage Bar & Sandwiches,6154 N Milwaukee Ave,THE GARAGE BAR AND SANDWICHES,6154 N MILWAUKEE AVE 
2791,Uptown Pizza & BBQ,1031 W Wilson Ave,UPTOWN PIZZA & BQ,1031 W WILSON AVE 
2792,The Gardner School of Chicago - Bucktown,1612 W North Ave,THE GARDNER SCHOOL,1612 W NORTH AVE 
2793,Pizza Lobo,3000 W Fullerton Ave,PIZZA LOBO,3000-3004 W FULLERTON AVE 
2794,Chipotle Mexican Grill,291 E Ontario St,CHIPOTLE MEXICAN GRILL,291 E ONTARIO ST 
2795,Prairie Fire,215 N Clinton St,PRAIRIE FIRE,215 N CLINTON ST 
2796,Paisans Pizzeria,6545 S Pulaski Rd,PAISANS PIZZERIA AND BAR PULASKI,6545 S PULASKI RD 
2797,Cobra Lounge,235 N Ashland Ave,COBRA LOUNGE/ALL RISE BREWING CO.,235 N ASHLAND AVE 
2798,Chipotle Mexican Grill,160 E Huron St,CHIPOTLE MEXICAN GRILL #4019,160 E HURON ST 
2799,Park Island Jerk Chicken Inc,319 95th St,"PARK ISLAND JERK CHICKEN,INC.",319 W 95TH ST 
2800,Flo & Santos,1310 S Wabash Ave,FLO & SANTO,1310 S WABASH AVE 
2801,Al's Beef,169 W Ontario St,AL'S BEEF RESTAURANT,169 W ONTARIO ST 
2802,Tom Yum Cafe,608 W Barry Ave,"TOM YUM RICE & NOODLE, INC.",608 W BARRY 
2803,1492 Cuban Fusion,2615 West North Ave,1492 CUBAN FUSION INC,2615 W NORTH AVE 
2804,Tropical Smoothie Cafe,4874 N Lincoln Ave,TROPICAL SMOOTHIE CAFE,4874 N LINCOLN AVE 
2805,New York Halal Pizza,2262 W Devon Ave,NEW YORK HALAL PIZZA,2262 W DEVON AVE 
2806,KJ's Corner Restaurant,3234 N Pulaski Rd,KJ'S CORNER,3234 N PULASKI RD 
2807,Subway,6315 S Cottage Grv,SUBWAY #65029,6315 S COTTAGE GROVE AVE 
2808,That's A Burger,8301 S Stony Island Ave,THAT'S A BURGER,8301 S STONY ISLAND AVE 
2809,Taqueria La Paz,5052 W Armitage Ave,TAQUERIA LA PAZ,5052 W ARMITAGE AVE 
2810,Bill's Bar & Burger,30 E Hubbard St,BILL'S BAR & BURGER,30 E HUBBARD ST 
2811,C Catering Boutique,4300 N Central Ave,'C' A CATERING AND EVENT COMPANY,4300-4304 N CENTRAL AVE 
2812,Great Sea Restaurant,3253 W Lawrence Ave,GREAT SEA RESTAURANT,3253 W LAWRENCE AVE 
2813,Fusion Poke,845 N Michigan Ave,FUSION POKE,835 N MICHIGAN AVE 
2814,Dena Kitchen,3306 W Fullerton Ave,DENA KITCHEN,3306 W FULLERTON AVE 
2815,Bar Louie,47 W Polk St,BAR LOUIE,47 W POLK ST 
2816,withlove collective,33 N Carpenter St,WITHLOVE COLLECTIVE,33 N CARPENTER 
2817,Hands On - Addison St.,7117 W Addison St,Hands On Inc,7117-7119 W ADDISON ST 
2818,Kedzie & Wilson Foods,4553 N Kedzie Ave,"KEDZIE & WILSON FOOD, INC.",4553 N KEDZIE AVE 
2819,Butter,130 South Green Street,Not Found,Not Found
2820,Carnitas Don Rafa,4597 S Archer Ave,"CARNITAS DON RAFA, INC.",4597 S ARCHER AVE 
2821,I Due Mondi,2723 N Harlem Ave,DUE MONDI CAFE,2723 N HARLEM AVE 
2822,MCM Protein Bar,2019 S Laflin St,MCM PROTEIN BAR,2019 S LAFLIN ST 
2823,S.K.Y.,1239 W 18th St,S.K.Y.,1239 W 18TH ST 
2824,King Gyros,7904 S Vincennes Ave,KING GYROS,7904 S VINCENNES AVE 
2825,Bristol Lounge,3084 N Milwaukee Ave,BRISTOL LOUNGE/JOHN'S LIQUOR AND DELI,3084-3086 N MILWAUKEE AVE 
2826,Frankie's by the Slice,600 E Grand Ave,FRANKIE'S PIZZA BY THE SLICE,600 E GRAND AVE 
2827,Azul Mariscos,1177 N Elston Ave,AZUL,1177 N ELSTON AVE 
2828,JuiceRx,211 E Ontario St,JUICERX,211 E ONTARIO ST 
2829,Big Al's,5333 S Kedzie Ave,BIG AL'S RESTAURANT,5333 S KEDZIE AVE 
2830,Bozii,309 W Lake St,BOZII RESTAURANTS CORP.,309 W LAKE ST 
2831,The Ritz-Carlton - Chicago,160 E Pearson St,THE RITZ CARLTON HOTEL,160 E PEARSON ST 
2832,British International School of Chicago,814 W Eastman St,QUEST AT BRITISH INTERNATIONAL SCHOOL OF CHICAGO L,814 W EASTMAN ST 
2833,Pockets,3001 N Lincoln Ave,POCKETS,3001 N LINCOLN AVE 
2834,Damenzo's Pizza and Restaurant,901 W 35th St,DAMENZO'S,901-903 W 35TH ST 
2835,The Comedy Clubhouse,1462 N Ashland,THE COMEDY CLUB HOUSE,1462 N ASHLAND AVE 
2836,Harmony Healthcare & Rehabilitation Center,3919 W Foster Ave,HARMONY NURSING & REHAB CTR,3919 W FOSTER AVE 
2837,La Celia Latin Kitchen,2890 N Milwaukee Ave,LA CELIA LATIN KITCHEN,2890 N MILWAUKEE AVE 
2838,Byron's Hot Dog,1701 W Lawrence Ave,BYRONS HOT DOG INC,1701 W LAWRENCE AVE 
2839,Dunkin',203 N La Salle St,DUNKIN DONUTS,203 N LA SALLE ST 
2840,Pittsfield Cafe,55 E Washington St,PITTSFIELD CAFE,55 E WASHINGTON ST 
2841,Super Mercado La Gloria,4117 S Kedzie Ave,SUPERMERCADO LA GLORIA,4117-4125 S KEDZIE AVE 
2842,Bang Bang Pie & Biscuits,2051 N California Ave,BANG BANG,2051 N CALIFORNIA AVE 
2843,Gyu-Kaku Japanese BBQ,1364 W Randolph St,GYU-KAKU RESTAURANT,1364 W RANDOLPH ST 
2844,Urbanspace - Chicago,15 W Washington St,URBANSPACE,15 W WASHINGTON ST 
2845,Brunch N Burgers,2255 W Taylor St,BRUNCH N' BURGERS CHICAGO,2255 W TAYLOR ST 
2846,Culichi Town,7601 S Cicero Ave,CULICHI TOWN,7601 S Cicero AVE 
2847,Q's Tips & Wings BBQ,2517 W 79th St,Q'S TIPS & WINGS BBQ INC,2517 W 79TH ST 
2848,Trivoli Tavern,114 N Green St,Not Found,Not Found
2849,The Sports Corner Bar & Grill,956 W Addison St,SPORTS CORNER,952-956 W ADDISON ST 
2850,Ricobene's,252 W 26th St,RICOBENE'S ON 26TH STREET,252 W 26TH ST 
2851,Tommy's on Grand,6001 W Grand Ave,TOMMY'S ON GRAND,6001 W GRAND AVE 
2852,Wingstop,3326 N Western Ave,WINGSTOP RESTAURANT,3326 N WESTERN AVE 
2853,Mr J Fish & Chicken,7601 S Halsted St,MR. J FISH & CHICKEN,7601 S HALSTED ST 
2854,Mk Noodle,3341 N Lincoln Ave,MK NOODLE,3341 N LINCOLN AVE 
2855,Halsted Street Deli & Bagel,222 W Merchandise Mart Plz,HALSTED STREET DELI,222 W MERCHANDISE MART PLZ 
2856,Swanson's Deli,2414 W 103rd St,SWANSON'S BEVERLY RITZ,2414 W 103RD ST 
2857,Lincoln Ice Cream,4919 N Lincoln Ave,LINCOLN ICE CREAM COMPANY LLC,4919 N LINCOLN AVE 
2858,Green Street Smoked Meats,112 N Green St,GREEN STREET SMOKED MEATS/HIGH FIVE RAMEN/SAWADA C,112 N GREEN ST 
2859,Caffè ArrivaDolce,6451 N Sheridan Rd,CAFFE ARRIVADOLCE,6451 N SHERIDAN RD 
2860,Taco Bell,948 W Armitage Ave,Taco Bell Cantina,948 W ARMITAGE AVE 
2861,House of Biryani,2306 W Devon Ave,HOUSE OF BIRYANI,2306 W DEVON AVE 
2862,Diver at the Park,3475 N Clark St,DIVER,3469-3475 N CLARK ST 
2863,See Thru Chinese Kitchen,4318 S Ashland Ave,SEE THRU CHINESE KITCHEN #19,4318 S ASHLAND AVE 
2864,Blue Bottle Coffee,313 W Wolf Point Plz,BLUE BOTTLE COFFEE,313 W WOLF POINT PLZ 
2865,Mr Shawarma,4552 N Magnolia Ave,MR SHAWARMA,4552 N MAGNOLIA AVE 
2866,Carnitas Uruapan,2813 W 55th St,LAS CARNITAS URUAPAN,2813-15 W 55TH ST 
2867,The Estates of Hyde Park,4505 S Drexel,"THE ESTATES OF HYDE PARK,  LLC",4505 S DREXEL BLVD BLDG 
2868,Typica Cafe,2034 W Division St,TYPICA CAFE CORP,2034 W DIVISION ST 
2869,Cafe Hoang,1020 W Argyle St,CAFE HOANG,1020 W ARGYLE ST 
2870,El Gran Burrito Express,1207 S Pulaski Rd,El Gran Burrito Express,1207 S PULASKI RD 
2871,Anmol Meat & Grocery,2753 W Devon Ave,ANMOL MEAT & GROCERY,2753 W DEVON AVE 
2872,Ken's On Western,10522 S Western Ave,KEN'S,10522 S WESTERN AVE 
2873,See Thru Chinese Kitchen,5249 W Madison St,SEE THRU CHINESE KITCHEN #21,5249 W Madison ST 
2874,Siam Rice,1906 S State St,SIAM RICE,1906 S STATE ST 
2875,Raising Cane's Chicken Fingers,6568 N Sheridan Rd,RAISING CANE'S # 352,6568 N SHERIDAN RD 
2876,Asian Station,1343 W Morse Ave,ASIAN STATION,1343 W MORSE AVE 
2877,Don's Grill,1837 S Western Ave,MC DONALD'S RESTAURANT,6515 S WESTERN AVE 
2878,Chicago Lakeshore Hospital,4840 N Marine Dr,AURORA CHICAGO LAKESHORE HOSPITAL,4840 N MARINE DR 
2879,Don's Carribean Jerk Spot,936 E 79th St,DONS CARIBBEAN JERK SPOT,936 E 79TH ST 
2880,Papa Joe's Pizza,5750 N Milwaukee Ave,PAPA JOE'S PIZZA,5750 N MILWAUKEE AVE 
2881,Steve's Place,230 W Chicago Ave,NEW STEVE'S PLACE,230 W CHICAGO AVE 
2882,Sicilian Bakery,4632 N Cumberland Ave,SICILIAN BAKERY INC,4632 N CUMBERLAND AVE 
2883,True Burger Co.,5700 S Cicero Ave,TRUE BURGER CO.,5700 S CICERO AVE 
2884,Grand Palace,225 W 26th St,GRAND PALACE,225 W 26TH ST 
2885,Chop Suey Huang,5202 N Lincoln Ave,Chop Suey Huang,5202 N LINCOLN AVE 
2886,M henry,5707 N Clark St,M. HENRY,5705-5707 N CLARK ST 
2887,Barba Yianni Grecian Taverna,4761 N Lincoln Ave,BARBA YIANNI GRECIAN TAVERNA,4761 N LINCOLN AVE 
2888,BIG & little's Restaurant & Bar,3000 W Fullerton Ave,BIG & LITTLE'S RESTAURANT,3000-3004 W FULLERTON AVE 
2889,Giordano's - Navy Pier,700 E Grand Ave,GIORDANO'S NAVY PIER,700 E GRAND AVE 
2890,Wingstop,6024 N Broadway St,"WILSON WINGS, INC/WINGSTOP RESTAURANT",4547 N BROADWAY 
2891,Patel Brothers,2610 W Devon Ave,PATEL BROS,2610 W DEVON AVE 
2892,Gorilla Sushi On Clark Street,4617 N Clark St,GORILLA SUSHI BAR ON CLARK,4617 N CLARK ST 
2893,Mole Village,2302 S Blue Island Ave,MOLE VILLAGE RESTAURANT,2302 S BLUE ISLAND AVE 
2894,Woodie's Flat,1535 N Wells St,WOODIE'S FLAT,1535 N WELLS ST 
2895,Taste of Chicago,11101 S Michigan Ave,NEW TASTE OF CHICAGO INC,11101 S MICHIGAN AVE 
2896,Kids Yard,6615 W Irving Park Rd,KIDS YARD,6601-6615 W IRVING PARK RD 
2897,Do-Rite Donuts & Chicken,233 E Erie St,DO RITE DONUTS,233 E ERIE ST 
2898,Chan's Garden,2825 W Cermak Rd,CHAN'S GARDEN CHINESE RESTAURANT,2825 W CERMAK RD 
2899,Dak,1104 W Granville Ave,DAK,1104 W GRANVILLE AVE 
2900,Standing Room Only Chicago,610 S Dearborn St,STANDING ROOM ONLY CHICAGO,610 S DEARBORN ST 
2901,Giordano's,730 N Rush St,GIORDANO'S OF RUSH,730 N RUSH ST 
2902,Breakthrough FamilyPlex,3219 W Carroll Ave,BREAKTHROUGH BEGINNERS,3219 W CARROLL AVE 
2903,Whole Foods Market,30 W Huron St,WHOLE FOODS MARKET,30 W HURON ST 
2904,Provare,1421 W Chicago Ave,PROVARE CHICAGO,1421 W CHICAGO AVE 
2905,La Michoacana,4336 S Pulaski Rd,LA MICHOACANA DE MARTHA LLC.,4336 S PULASKI RD 
2906,Tricoci Salon & Spa,900 N Michigan Ave,"MARIO TRICOCI HAIR SALONS & DAY SPAS, LLC",900 N MICHIGAN AVE 
2907,Bill's Place Restaurant,4359 W Division St,BILL'S PLACE RESTUARANT,4359 W DIVISION ST 
2908,Forever Yogurt,2741 N Elston Ave,FOREVER YOGURT - LOGAN SQUARE,2741 N ELSTON AVE 
2909,URBAN TREEZ CHICAGO,1649 W 18th St,URBAN TREEZ CHICAGO,1649 W 18th ST 
2910,En Hakkore,1840 N Damen Ave,EN HAKKORE DAMEN,1840 N DAMEN AVE 
2911,Cafe Brauer,2021 N Stockton Dr,CAFE BRAUER,2021 N STOCKTON DR 
2912,Razpachos,5611 S Pulaski Rd,RAZPACHOS,5611 S PULASKI RD 
2913,Ed Debevic's,159 E Ohio St,DEBEVIC'S RESTAURANT,159 E OHIO ST 
2914,Doc B's Restaurant + Bar,55 E Grand Ave,DOC B'S,55 E GRAND AVE 
2915,La Palapa,3350 N Harlem,LA PALAPA,3350 N HARLEM AVE 
2916,China Palace,1129 W Thorndale Ave,CHINA PALACE,1129 W THORNDALE AVE 
2917,El Cubanito,2555 N Pulaski Rd,EL CUBANITO,2555 N PULASKI RD 
2918,7-Eleven,2741 Touhy,7-ELEVEN FOOD STORE,2741 W TOUHY AVE 
2919,Gino's North Pizzeria,1111 W Granville Ave,GINO'S NORTH PIZZERIA,1111 W GRANVILLE AVE 
2920,Au Bon Pain,222 Merchandise Mart,AU BON PAIN,222 W MERCHANDISE MART PLZ 
2921,Portage Grounds Coffee & Tea,5501 W Irving Park,PORTAGE GROUNDS COFFEE & TEA,5501 W IRVING PARK RD 
2922,Chepe's Tacos,2007 S Damen Ave,CHEPE'S TACOS,2007-2009 S DAMEN AVE 
2923,Jewel-Osco,3570 N Elston Ave,AFC SUSHI@JEWEL OSCO #3470,3570 N ELSTON AVE 
2924,La Palma Supermercado,4173 S Archer Ave,LA PALMA,4173 S ARCHER AVE 
2925,The Wrap Bar,8154 S Cottage Grove,THE WRAP BAR,8154 S COTTAGE GROVE AVE 
2926,Brandy's Gyros,6262 N Harlem Ave,BRANDY'S RESTAURANT,6262 N HARLEM AVE 
2927,Finley Dunnes Tavern,3458 N Lincoln Ave,FINLEY DUNNE'S,3458 N LINCOLN AVE 
2928,Evita Argentinian Steakhouse,6112 N Lincoln Ave,EVITA ARGENTINIAN STEAKHOUSE,6112 N LINCOLN AVE 
2929,Stephen T Mather High School,5835 N Lincoln Ave,MATHER HIGH SCHOOL,5835 N Lincoln 
2930,Cornerstone Cafe,2753 N Western Ave,CORNERSTONE CAFE,2753 N WESTERN AVE 
2931,Jamba,500 W Madison St,JAMBA JUICE 189,500 W MADISON ST 
2932,Birrieria Jalisco,2462 W 47th St,BIRRIERIA JALISCO,2462 W 47TH ST 
2933,7-Eleven,504 N Halsted,7-ELEVEN #35978A,504 N HALSTED ST 
2934,Ideal Bakery,4765 N Milwaukee Ave,"IDEAL BAKERY ENTERPRISES, INC",4763-4765 N MILWAUKEE AVE 
2935,Farm on Ogden,3555 W Ogden Ave,FARM ON OGDEN,3555 W OGDEN AVE 
2936,El Tacontento Taqueria Y Neveria,3500 W Montrose Ave,TACONTENTO,3500 W MONTROSE AVE 
2937,Teddy Bear Day Care Centers,6401 S Pulaski Rd,LITTLE BEAR DAY CARE,6411 S PULASKI RD 
2938,Bake,2246 W North Ave,BAKE,2246 W NORTH AVE 
2939,New Einsteins Academy,1858 N Damen Ave,NEW EINSTEINS ACADEMY,1858-1860 N DAMEN AVE 
2940,Yolk - Wicker Park,1819 W Division St,YOLK - WICKER PARK,1819 W DIVISION ST 
2941,Grill & Garden Restaurant,5318 North Broadway St,GRILL AND GARDEN,5318 N BROADWAY 
2942,Rickover Naval Academy,5700 W Berteau Ave,HYMAN G RICKOVER NAVAL ACADEMY HIGH SCHOOL,5700 W BERTEAU AVE 
2943,Royal Sonesta Chicago Downtown,71 E Wacker Dr,ROYAL SONESTA CHICAGO AND HOYT'S AMERICAN TAVERN,71 E WACKER DR 
2944,International Nursing and Rehabilitation Center,4815 S Western Blvd,INTERNATIONAL NURSING & REHAB CENTER,4815 S WESTERN BLVD 
2945,Peking Chinese Food,129 W North Ave,PEKING CHINESE FOOD,129 W NORTH AVE 
2946,Lirica,900 E Grand Ave,LIRICA,900 E GRAND AVE 
2947,Tom & Jerry's,6359 W Montrose Ave,TOM AND JERRY FAST FOOD,6359 W MONTROSE AVE 
2948,Foxtrot,1562 N Wells St,FOXTROT MARKET,1562 N WELLS ST 
2949,Full Shilling Public House,3724 N Clark St,FULL SHILLING,3724-3726 N CLARK ST 
2950,Thai Lagoon,2322 W North Ave,THAI LAGOON RESTAURANT,2322 W NORTH AVE 
2951,Balmoral Nursing Home,2055 W Balmoral Ave,"BALMORAL HOME, INC.",2055 W BALMORAL AVE 
2952,Bacci Pizzeria,4367 N Milwaukee Ave,BACCI CAFE AND PIZZERIA ON MILAUKEE AVE. INC.,4367 N MILWAUKEE AVE 
2953,Buona,613 N McClurg Ct,BUONA,613-617 N MCCLURG CT 
2954,Sanchez Tacos,4001 Ogden Ave,SANCHEZ TACOS,4001 W OGDEN 
2955,Eris Brewery and Cider House,4240 W Irving Park Rd,ERIS BREWERY AND CIDER HOUSE,4240 W IRVING PARK RD 
2956,Hong Kong House,3904 N Cicero Ave,HONG KONG CHINESE RESTAURANT,3904 N CICERO AVE 
2957,Junebug Café,4944 W Irving Park Rd,JUNEBUG CAFE,4944 W IRVING PARK RD 
